"feature_id"	"type"	"function."	"evidence_codes"
"fig|1578.144.peg.19"	"peg"	"ABC-type multidrug transport system, ATPase and permease components"	"ff"
"fig|1578.144.peg.20"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.21"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.22"	"peg"	"Uncharacterized phage-associated protein"	"ff"
"fig|1578.144.peg.23"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.24"	"peg"	"PTS system, cellobiose-specific IIC component (EC 2.7.1.69)"	"idu(11);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.25"	"peg"	"Phosphosugar-binding transcriptional regulator, RpiR family"	""
"fig|1578.144.peg.26"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.27"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.28"	"peg"	"D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)"	"idu(2);Serine_Biosynthesis"
"fig|1578.144.peg.29"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.30"	"peg"	"ABC transporter ATPase and permease components"	"ff"
"fig|1578.144.peg.31"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.32"	"peg"	"PTS system, galactosamine-specific IIB component (EC 2.7.1.69)"	"icw(1);N-Acetyl-Galactosamine_and_Galactosamine_Utilization"
"fig|1578.144.peg.33"	"peg"	"PTS system, galactosamine-specific IIC component (EC 2.7.1.69)"	"idu(1);N-Acetyl-Galactosamine_and_Galactosamine_Utilization"
"fig|1578.144.peg.34"	"peg"	"PTS system, mannose-specific IID component"	"ff"
"fig|1578.144.peg.35"	"peg"	"Transcriptional regulator"	""
"fig|1578.144.peg.36"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.37"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.38"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.39"	"peg"	"FIG00750682: hypothetical protein"	"ff"
"fig|1578.144.peg.40"	"peg"	"ABC transporter ATPase component"	"ff"
"fig|1578.144.peg.41"	"peg"	"Transcriptional regulator"	""
"fig|1578.144.peg.42"	"peg"	"ABC-type multidrug transport system, ATPase and permease components"	"ff"
"fig|1578.144.peg.43"	"peg"	"Protein, containing LuxR family transcriptional regulator HTH domain"	""
"fig|1578.144.peg.44"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.45"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.46"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.47"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(1);Succinate_dehydrogenase"
"fig|1578.144.peg.48"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"icw(1);Succinate_dehydrogenase"
"fig|1578.144.peg.49"	"peg"	"GltC, transcription activator of glutamate synthase operon"	"ff"
"fig|1578.144.peg.50"	"peg"	"Trehalose-6-phosphate hydrolase (EC 3.2.1.93)"	"icw(2);Trehalose_Uptake_and_Utilization"
"fig|1578.144.peg.51"	"peg"	"Trehalose operon transcriptional repressor"	"isu;Trehalose_Uptake_and_Utilization"
"fig|1578.144.peg.52"	"peg"	"PTS system, trehalose-specific IIB component (EC 2.7.1.69) / PTS system, trehalose-specific IIC component (EC 2.7.1.69)"	"icw(1);Trehalose_Uptake_and_Utilization icw(2);Trehalose_Uptake_and_Utilization"
"fig|1578.144.peg.53"	"peg"	"Transcriptional antiterminator of lichenan operon, BglG family"	"idu(2);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.54"	"peg"	"PTS system, cellobiose-specific IIB component (EC 2.7.1.69)"	"icw(2);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.55"	"peg"	"PTS system, cellobiose-specific IIC component (EC 2.7.1.69)"	"icw(4);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.56"	"peg"	"PTS system, cellobiose-specific IIA component (EC 2.7.1.69)"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.57"	"peg"	"6-phospho-beta-glucosidase (EC 3.2.1.86)"	"icw(3);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.58"	"peg"	"oxidoreductase ylbE"	""
"fig|1578.144.peg.59"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.144.peg.60"	"peg"	"ABC-type Na+ efflux pump, permease component"	""
"fig|1578.144.peg.61"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.62"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.63"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.144.peg.64"	"peg"	"Daunorubicin resistance transmembrane protein"	""
"fig|1578.144.peg.65"	"peg"	"ABC-type multidrug transport system, permease component"	""
"fig|1578.144.peg.66"	"peg"	"transcriptional regulator"	"ff"
"fig|1578.144.peg.67"	"peg"	"transcriptional regulator, MerR family"	""
"fig|1578.144.peg.68"	"peg"	"cell surface hydrolase (putative)"	"ff"
"fig|1578.144.peg.69"	"peg"	"1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)"	"isu;Thiamin_biosynthesis isu;Isoprenoid_Biosynthesis"
"fig|1578.144.peg.70"	"peg"	"2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)"	"isu;Glycerate_metabolism isu;Allantoin_Utilization isu;D-galactarate,_D-glucarate_and_D-glycerate_catabolism isu;D-galactarate,_D-glucarate_and_D-glycerate_catabolism_-_gjo"
"fig|1578.144.peg.71"	"peg"	"ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)"	"ff"
"fig|1578.144.peg.72"	"peg"	"Substrate-specific component CbrT of predicted cobalamin ECF transporter"	"isu;ECF_class_transporters icw(1);Coenzyme_B12_biosynthesis"
"fig|1578.144.peg.73"	"peg"	"Additional lipoprotein component of predicted cobalamin ECF transporter"	"isu;Coenzyme_B12_biosynthesis"
"fig|1578.144.peg.74"	"peg"	"FIG00751148: hypothetical protein"	"ff"
"fig|1578.144.peg.75"	"peg"	"Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)"	"isu;Inteins isu;Ribonucleotide_reduction"
"fig|1578.144.peg.76"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.77"	"peg"	"Putative FMN hydrolase (EC 3.1.3.-); 5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase"	"idu(1);Riboflavin,_FMN_and_FAD_metabolism_in_plants idu(1);Riboflavin,_FMN_and_FAD_metabolism"
"fig|1578.144.peg.78"	"peg"	"oxidoreductase of aldo/keto reductase family, subgroup 1"	"ff"
"fig|1578.144.peg.79"	"peg"	"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)"	"isu;Proline_Synthesis isu;CBSS-630.2.peg.3360"
"fig|1578.144.peg.80"	"peg"	"D-lactate dehydrogenase (EC 1.1.1.28)"	"idu(2);Fermentations:_Lactate idu(2);Fermentations:_Mixed_acid"
"fig|1578.144.peg.81"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.82"	"peg"	"Exodeoxyribonuclease III (EC 3.1.11.2)"	"isu;DNA_repair,_bacterial"
"fig|1578.144.peg.83"	"peg"	"putative phage DEAD box family helicase"	"ff"
"fig|1578.144.peg.84"	"peg"	"penicillin-binding protein"	"ff"
"fig|1578.144.rna.2"	"rna"	"5S RNA"	""
"fig|1578.144.rna.3"	"rna"	"tRNA-Asn-GTT"	""
"fig|1578.144.peg.85"	"peg"	"contains transcriptional regulator helix-turn-helix domain, lysR family"	"ff"
"fig|1578.144.peg.86"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"idu(17);Succinate_dehydrogenase"
"fig|1578.144.peg.87"	"peg"	"2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (EC 2.7.8.25)"	"isu;Citrate_Metabolism,_Transport,_and_Regulation"
"fig|1578.144.peg.88"	"peg"	"Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)"	"idu(1);Fatty_Acid_Biosynthesis_FASII"
"fig|1578.144.peg.89"	"peg"	"transcriptional regulator, LysR family"	""
"fig|1578.144.peg.90"	"peg"	"Butyryl-CoA dehydrogenase (EC 1.3.99.2)"	"ff"
"fig|1578.144.peg.91"	"peg"	"Hydroxyproline dehydratase putative"	""
"fig|1578.144.peg.92"	"peg"	"Butyryl-CoA dehydrogenase (EC 1.3.99.2)"	"ff"
"fig|1578.144.peg.93"	"peg"	"Electron transfer flavoprotein beta-subunit"	""
"fig|1578.144.peg.94"	"peg"	"Electron transfer flavoprotein, alpha subunit"	"ff"
"fig|1578.144.peg.95"	"peg"	"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"	"isu;n-Phenylalkanoic_acid_degradation isu;Fatty_acid_metabolism_cluster isu;Biotin_biosynthesis"
"fig|1578.144.peg.96"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.97"	"peg"	"Putative transport system permease protein"	""
"fig|1578.144.peg.98"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"idu(17);Succinate_dehydrogenase"
"fig|1578.144.peg.99"	"peg"	"Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)"	"isu;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate) isu;Quinate_degradation"
"fig|1578.144.peg.100"	"peg"	"3-dehydroquinate dehydratase I (EC 4.2.1.10)"	"icw(1);Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate) icw(1);Quinate_degradation"
"fig|1578.144.peg.101"	"peg"	"Alpha-L-fucosidase (EC 3.2.1.51)"	"idu(1);L-fucose_utilization"
"fig|1578.144.peg.102"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.103"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.104"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.105"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.106"	"peg"	"FIG00742716: hypothetical protein"	"ff"
"fig|1578.144.peg.107"	"peg"	"contains glycosyl transferase family 8 domain"	"ff"
"fig|1578.144.peg.108"	"peg"	"contains glycosyl transferase family 8 domain"	"ff"
"fig|1578.144.peg.109"	"peg"	"FIG00742203: hypothetical protein"	"ff"
"fig|1578.144.peg.110"	"peg"	"PTS system, mannose-specific IID component"	"ff"
"fig|1578.144.peg.111"	"peg"	"PTS system, mannose-specific IIC component"	"ff"
"fig|1578.144.peg.112"	"peg"	"PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)"	"idu(9);Mannose_Metabolism idu(5);Mannose_Metabolism idu(9);Sialic_Acid_Metabolism idu(5);Sialic_Acid_Metabolism"
"fig|1578.144.peg.113"	"peg"	"PTS system, hyaluronate-oligosaccharide-specific IIA component (EC 2.7.1.69)"	""
"fig|1578.144.peg.114"	"peg"	"Deoxyribose-phosphate aldolase (EC 4.1.2.4)"	"isu;Deoxyribose_and_Deoxynucleoside_Catabolism"
"fig|1578.144.peg.115"	"peg"	"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"	"idu(4);Chitin_and_N-acetylglucosamine_utilization"
"fig|1578.144.peg.116"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.117"	"peg"	"unknown"	""
"fig|1578.144.peg.118"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.119"	"peg"	"integral membrane protein (putative)"	""
"fig|1578.144.peg.120"	"peg"	"Transcriptional regulator, PadR family"	"isu;CBSS-1352.1.peg.856"
"fig|1578.144.peg.121"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.122"	"peg"	"cell surface hydrolase (putative)"	""
"fig|1578.144.peg.123"	"peg"	"putative kinase"	""
"fig|1578.144.rna.4"	"rna"	"tRNA-Lys-CTT"	""
"fig|1578.144.rna.5"	"rna"	"tRNA-Lys-CTT"	""
"fig|1578.144.peg.124"	"peg"	"Two-component response regulator SA14-24"	"isu;Heme,_hemin_uptake_and_utilization_systems_in_GramPositives icw(2);SA:14-24"
"fig|1578.144.peg.125"	"peg"	"Two-component sensor kinase SA14-24"	"icw(1);Heme,_hemin_uptake_and_utilization_systems_in_GramPositives isu;SA:14-24"
"fig|1578.144.peg.126"	"peg"	"FIG011501: YycH protein"	"icw(1);SA:14-24"
"fig|1578.144.peg.127"	"peg"	"Distant homolog of hypothetical protein SA_21"	"ff"
"fig|1578.144.peg.128"	"peg"	"Zn-dependent hydrolase (beta-lactamase superfamily)"	"ff"
"fig|1578.144.peg.129"	"peg"	"Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)"	"icw(2);SA:14-24"
"fig|1578.144.peg.130"	"peg"	"LSU m3Psi1915 methyltransferase RlmH"	"icw(2);SA:14-24 isu;RNA_methylation isu;Ribosome_biogenesis_bacterial"
"fig|1578.144.peg.131"	"peg"	"Sucrose-6-phosphate hydrolase (EC 3.2.1.B3)"	"ff"
"fig|1578.144.peg.132"	"peg"	"Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"	"isu;Thiamin_biosynthesis isu;ECF_class_transporters"
"fig|1578.144.peg.133"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.134"	"peg"	"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"	"icw(1);ECF_class_transporters"
"fig|1578.144.peg.135"	"peg"	"Transcriptional regulator, AraC family"	""
"fig|1578.144.peg.136"	"peg"	"Heat shock protein HtpX (EC 3.4.24.-)"	"isu;CBSS-393011.11.peg.386"
"fig|1578.144.peg.137"	"peg"	"LemA protein"	"icw(1);CBSS-393011.11.peg.386"
"fig|1578.144.peg.138"	"peg"	"Arsenic efflux pump protein"	"ff"
"fig|1578.144.peg.139"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.140"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.141"	"peg"	"FIG00746833: hypothetical protein"	"ff"
"fig|1578.144.peg.142"	"peg"	"Chitinase (EC 3.2.1.14)"	"icw(1);Chitin_and_N-acetylglucosamine_utilization"
"fig|1578.144.peg.143"	"peg"	"putative surface protein"	""
"fig|1578.144.peg.144"	"peg"	"Chitinase (EC 3.2.1.14)"	"icw(2);Chitin_and_N-acetylglucosamine_utilization"
"fig|1578.144.peg.145"	"peg"	"putative surface protein"	""
"fig|1578.144.peg.146"	"peg"	"Chitinase (EC 3.2.1.14)"	"icw(1);Chitin_and_N-acetylglucosamine_utilization"
"fig|1578.144.peg.147"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.148"	"peg"	"putative surface protein"	""
"fig|1578.144.peg.149"	"peg"	"ATPase, AAA family"	"ff"
"fig|1578.144.peg.150"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.151"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.152"	"peg"	"Hydrolase, alpha/beta fold family"	""
"fig|1578.144.peg.153"	"peg"	"Amino acid transport ATP-binding protein"	"ff"
"fig|1578.144.peg.154"	"peg"	"ABC-type amino acid transport system, permease component"	"ff"
"fig|1578.144.peg.155"	"peg"	"DNA-3-methyladenine glycosylase II (EC 3.2.2.21)"	"isu;DNA_Repair_Base_Excision"
"fig|1578.144.peg.156"	"peg"	"probable uroporphyrin-III c-methyltransferase (EC 2.1.1.107)"	"ff"
"fig|1578.144.peg.157"	"peg"	"TerC-like integral membrane protein"	"ff"
"fig|1578.144.peg.158"	"peg"	"NAD-dependent protein deacetylase of SIR2 family"	"isu;Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate isu;Redox-dependent_regulation_of_nucleus_processes"
"fig|1578.144.peg.159"	"peg"	"Aspartate--ammonia ligase (EC 6.3.1.1)"	"isu;Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"
"fig|1578.144.peg.160"	"peg"	"FIG00744653: hypothetical protein"	"ff"
"fig|1578.144.peg.161"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.162"	"peg"	"NADH dehydrogenase (EC 1.6.99.3)"	"isu;Respiratory_dehydrogenases_1 isu;Riboflavin_synthesis_cluster"
"fig|1578.144.peg.163"	"peg"	"Cardiolipin synthetase (EC 2.7.8.-)"	"isu;Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria isu;Cardiolipin_synthesis"
"fig|1578.144.peg.164"	"peg"	"cell surface hydrolase (putative)"	"ff"
"fig|1578.144.peg.165"	"peg"	"Ribonuclease HI (EC 3.1.26.4)"	"isu;CBSS-342610.3.peg.1536 isu;Ribonuclease_H"
"fig|1578.144.peg.166"	"peg"	"Extracellular protein"	"ff"
"fig|1578.144.peg.167"	"peg"	"contains glycosyl transferase family 2 region"	"ff"
"fig|1578.144.peg.168"	"peg"	"Alpha/beta hydrolase fold (EC 3.8.1.5)"	"ff"
"fig|1578.144.peg.169"	"peg"	"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)"	"idu(1);Pentose_phosphate_pathway idu(1);De_Novo_Purine_Biosynthesis"
"fig|1578.144.peg.170"	"peg"	"Transcriptional regulator, TetR family"	""
"fig|1578.144.peg.171"	"peg"	"FIG00744040: hypothetical protein"	"ff"
"fig|1578.144.peg.172"	"peg"	"Nucleoside 2-deoxyribosyltransferase"	"ff"
"fig|1578.144.peg.173"	"peg"	"FIG00742077: hypothetical protein"	"ff"
"fig|1578.144.peg.174"	"peg"	"Bacteriocin helveticin J"	""
"fig|1578.144.peg.175"	"peg"	"D-alanine--D-alanine ligase (EC 6.3.2.4)"	"isu;Peptidoglycan_biosynthesis--gjo isu;cell_division_cluster_containing_FtsQ isu;Peptidoglycan_Biosynthesis"
"fig|1578.144.peg.176"	"peg"	"contains chromosome segregation ATPase domain"	"ff"
"fig|1578.144.peg.177"	"peg"	"Transporter"	"ff"
"fig|1578.144.peg.178"	"peg"	"Integral membrane protein"	"ff"
"fig|1578.144.peg.179"	"peg"	"Lipase/esterase"	"ff"
"fig|1578.144.peg.180"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.181"	"peg"	"unknown"	""
"fig|1578.144.peg.182"	"peg"	"Transcriptional regulator, TetR family"	""
"fig|1578.144.peg.183"	"peg"	"short-chain dehydrogenase/oxidoreductase"	""
"fig|1578.144.peg.184"	"peg"	"putative aggregation promoting protein"	"ff"
"fig|1578.144.peg.185"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.186"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.187"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.188"	"peg"	"Lysyl aminopeptidase (EC 3.4.11.15)"	"ff"
"fig|1578.144.peg.189"	"peg"	"ErfK/YbiS/YcfS/YnhG family protein, putative"	"ff"
"fig|1578.144.peg.190"	"peg"	"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"	"idu(1);Lactose_and_Galactose_Uptake_and_Utilization"
"fig|1578.144.peg.191"	"peg"	"Substrate-specific component PanT of predicted pantothenate ECF transporter"	"isu;ECF_class_transporters isu;Coenzyme_A_Biosynthesis"
"fig|1578.144.peg.192"	"peg"	"ABC transporter, ATP-binding protein"	"ff"
"fig|1578.144.peg.193"	"peg"	"ABC-type antimicrobial peptide transport system, permease component"	"ff"
"fig|1578.144.peg.194"	"peg"	"ABC-type antimicrobial peptide transport system, permease component"	"ff"
"fig|1578.144.peg.195"	"peg"	"major facilitator superfamily permease"	"ff"
"fig|1578.144.peg.196"	"peg"	"contains transcriptional regulator helix-turn-helix domain"	""
"fig|1578.144.peg.197"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.198"	"peg"	"ABC-type antimicrobial peptide transport system, permease component"	""
"fig|1578.144.peg.199"	"peg"	"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"	"icw(4);ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.200"	"peg"	"High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)"	"isu;ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.201"	"peg"	"Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)"	"icw(2);ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.202"	"peg"	"Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)"	"icw(5);ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.203"	"peg"	"Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)"	"icw(1);ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.204"	"peg"	"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"	"icw(4);ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)"
"fig|1578.144.peg.205"	"peg"	"FIG00747806: hypothetical protein"	"ff"
"fig|1578.144.peg.206"	"peg"	"Hypothetical, related to broad specificity phosphatases COG0406"	"ff"
"fig|1578.144.peg.207"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.208"	"peg"	"Superfamily I DNA and RNA helicases"	"ff"
"fig|1578.144.peg.209"	"peg"	"acetyltransferase, GNAT family"	""
"fig|1578.144.peg.210"	"peg"	"Arylesterase"	""
"fig|1578.144.peg.211"	"peg"	"Pantothenate kinase (EC 2.7.1.33)"	"isu;Coenzyme_A_Biosynthesis"
"fig|1578.144.peg.212"	"peg"	"Ornithine cyclodeaminase (EC 4.3.1.12)"	"ff"
"fig|1578.144.peg.213"	"peg"	"Translation elongation factor P"	"idu(1);Translation_elongation_factor_P_lysylation idu(1);Translation_elongation_factors_bacterial"
"fig|1578.144.peg.214"	"peg"	"Transcriptional regulator, AraC family"	""
"fig|1578.144.peg.215"	"peg"	"Major myo-inositol transporter IolT"	"icw(1);Inositol_catabolism"
"fig|1578.144.peg.216"	"peg"	"Major myo-inositol transporter IolT"	"icw(1);Inositol_catabolism"
"fig|1578.144.peg.217"	"peg"	"Inosose dehydratase (EC 4.2.1.44)"	"icw(2);Inositol_catabolism"
"fig|1578.144.peg.218"	"peg"	"Fumarate reductase flavoprotein subunit (EC 1.3.99.1)"	"idu(17);Succinate_dehydrogenase"
"fig|1578.144.peg.219"	"peg"	"Carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23) (Carboxyphosphonoenolpyruvate phosphonomutase) (CPEP phosphonomutase)"	""
"fig|1578.144.peg.220"	"peg"	"Methylisocitrate lyase (EC 4.1.3.30)"	"isu;Methylcitrate_cycle"
"fig|1578.144.peg.221"	"peg"	"putative transport protein"	""
"fig|1578.144.peg.222"	"peg"	"Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)"	"isu;Inositol_catabolism"
"fig|1578.144.peg.223"	"peg"	"Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)"	"icw(1);Inositol_catabolism"
"fig|1578.144.peg.224"	"peg"	"Inosose isomerase (EC 5.3.99.-)"	"icw(4);Inositol_catabolism"
"fig|1578.144.peg.225"	"peg"	"Inosose isomerase (EC 5.3.99.-)"	"icw(4);Inositol_catabolism"
"fig|1578.144.peg.226"	"peg"	"Inosose isomerase (EC 5.3.99.-)"	"icw(4);Inositol_catabolism"
"fig|1578.144.peg.227"	"peg"	"Beta-glucoside bgl operon antiterminator, BglG family"	"icw(1);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.228"	"peg"	"PTS system, glucose-specific IIA component (EC 2.7.1.69)"	"isu;Trehalose_Uptake_and_Utilization"
"fig|1578.144.peg.229"	"peg"	"6-phospho-beta-glucosidase (EC 3.2.1.86)"	"idu(9);Beta-Glucoside_Metabolism"
"fig|1578.144.peg.230"	"peg"	"PTS system, IIA component"	""
"fig|1578.144.peg.231"	"peg"	"PTS system, IIA component"	""
"fig|1578.144.peg.232"	"peg"	"putative PTS system, IIb component"	""
"fig|1578.144.peg.233"	"peg"	"FIG00513672: hypothetical protein"	"ff"
"fig|1578.144.peg.234"	"peg"	"4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)"	"idu(1);Entner-Doudoroff_Pathway idu(1);D-Galacturonate_and_D-Glucuronate_Utilization"
"fig|1578.144.peg.235"	"peg"	"Arabinose 5-phosphate isomerase (EC 5.3.1.13)"	"isu;KDO2-Lipid_A_biosynthesis"
"fig|1578.144.peg.236"	"peg"	"4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)"	"idu(2);Lysine_Biosynthesis_DAP_Pathway,_GJO_scratch idu(2);Lysine_Biosynthesis_DAP_Pathway"
"fig|1578.144.peg.237"	"peg"	"hypothetical protein"	""
"fig|1578.144.peg.238"	"peg"	"hypothetical protein"	""
